# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	514
#@/user_id	eaaa1e88-c0ae-4b24-9257-a9be85c947bf
zhe ge 	這個	c=2 d=1.36972 t=510
zhe jiu 	這就	c=1 d=1 t=48
zhe shang 	浙商	c=1 d=1 t=259
zhe teng 	折騰	c=1 d=1 t=399
zhe yang 	這樣	c=1 d=1 t=150
zhe zhong 	這種	c=1 d=1 t=89
zhen bu cuo 	真不錯	c=1 d=1 t=509
zheng chang 	正常	c=0 d=0.1 t=118
zhi hou 	之後	c=1 d=1 t=218
zhi hui 	指揮	c=1 d=1 t=324
zhi jie 	直接	c=3 d=2.49338 t=392
zhi neng shuo 	只能說	c=1 d=1 t=258
zhi yu 	治癒	c=0 d=0.1 t=401
zhong wu 	中午	c=1 d=1 t=368
zhou mo 	週末	c=1 d=1 t=231
zhu 	住	c=1 d=1 t=385
zhu dong 	主動	c=1 d=1 t=110
zhu yao shi 	主要是	c=1 d=1 t=125
zhuan le 	賺了	c=4 d=2.7578 t=420
zhun bei 	準備	c=1 d=1 t=463
zuo de 	做的	c=1 d=1 t=54
